Athlète,Ligue,Performance,Naissance,Catégorie,time_delta,time_gap,duration,Nom,Prénom
BOILEAU Davy,ATLETISMU,R4,1981,M0M,0 days 02:58:18,0 days 00:49:33,10698.0,BOILEAU,Davy
ZATTARA Jean,0,R4,1986,SEM,0 days 02:58:50,0 days 00:50:05,10730.0,ZATTARA,Jean
DORION Jeff,0,R4,1992,SEM,0 days 02:59:23,0 days 00:50:38,10763.0,DORION,Jeff
MELCHIOR Gauthier,0,R4,1995,M1M,0 days 02:59:41,0 days 00:50:56,10781.0,MELCHIOR,Gauthier
BERGERON Valentin,ATHLETISME,R4,1984,M0M,0 days 02:59:52,0 days 00:51:07,10792.0,BERGERON,Valentin
LE BRAS,0,R4,1980,M2M,0 days 02:59:56,0 days 00:51:11,10796.0,LE,BRAS
SCHIAVI Olivier,0,R4,1987,M0M,0 days 03:00:03,0 days 00:51:18,10803.0,SCHIAVI,Olivier
LARBEY Thomas,0,R4,1978,M2M,0 days 03:01:15,0 days 00:52:30,10875.0,LARBEY,Thomas
VERMEESCH Nicolas,SOMME,R4,1988,M2M,0 days 03:03:14,0 days 00:54:29,10994.0,VERMEESCH,Nicolas
BOUHASSANI Mohamed,0,R4,1976,SEM,0 days 03:03:17,0 days 00:54:32,10997.0,BOUHASSANI,Mohamed
BENGHANEM Edyr,0,R5,1977,M2M,0 days 03:03:27,0 days 00:54:42,11007.0,BENGHANEM,Edyr
VOIGNIER Vincent,ATHLETISME,R5,1980,M2M,0 days 03:04:05,0 days 00:55:20,11045.0,VOIGNIER,Vincent
MOUZARINE Stephane,0,R5,1992,SEM,0 days 03:04:32,0 days 00:55:47,11072.0,MOUZARINE,Stephane
GALABRUN Sylvain,0,R5,1974,M0M,0 days 03:05:07,0 days 00:56:22,11107.0,GALABRUN,Sylvain
FAUVEL Bruno,PCA,R5,1975,M2M,0 days 03:05:35,0 days 00:56:50,11135.0,FAUVEL,Bruno
COMTAT Cyril,0,R5,1991,M1M,0 days 03:05:44,0 days 00:56:59,11144.0,COMTAT,Cyril
BUSSON David,0,R5,1988,SEM,0 days 03:07:29,0 days 00:58:44,11249.0,BUSSON,David
URBEJTEL Vincent,ATLETISMU,R6,1973,M2M,0 days 03:07:49,0 days 00:59:04,11269.0,URBEJTEL,Vincent
GUIDI Franck,0,R5,1975,SEM,0 days 03:08:05,0 days 00:59:20,11285.0,GUIDI,Franck
TRAVERT Anthony,0,R6,1979,M0M,0 days 03:08:31,0 days 00:59:46,11311.0,TRAVERT,Anthony
LUPPI Jean,0,R6,1999,M3M,0 days 03:09:16,0 days 01:00:31,11356.0,LUPPI,Jean
POIROT Robin,0,R6,1975,M1M,0 days 03:09:29,0 days 01:00:44,11369.0,POIROT,Robin
FRANCOIS Yvio,0,R6,1992,M1M,0 days 03:09:29,0 days 01:00:44,11369.0,FRANCOIS,Yvio
LABBE Jean,0,R6,1987,M2M,0 days 03:09:32,0 days 01:00:47,11372.0,LABBE,Jean
CHAUDOY Romain,0,R6,1973,M1M,0 days 03:10:39,0 days 01:01:54,11439.0,CHAUDOY,Romain
TILQUIN Jean,0,R6,1979,M0M,0 days 03:11:07,0 days 01:02:22,11467.0,TILQUIN,Jean
EL MOURTAFI,0,R6,1982,M3M,0 days 03:11:18,0 days 01:02:33,11478.0,EL,MOURTAFI
FAIVRE Erwan,MANTINUM,R6,1986,SEM,0 days 03:11:29,0 days 01:02:44,11489.0,FAIVRE,Erwan
BELTRAMELLI Damien,0,R6,1977,M3M,0 days 03:11:46,0 days 01:03:01,11506.0,BELTRAMELLI,Damien
BERTOLDO Alexandre,SOMME,R6,1981,SEM,0 days 03:11:50,0 days 01:03:05,11510.0,BERTOLDO,Alexandre
GHANDAOUI Yassine,ENDURANCE,R6,1978,M2M,0 days 03:12:52,0 days 01:04:07,11572.0,GHANDAOUI,Yassine
DOUVILLEZ Cedric,0,R6,1987,M4M,0 days 03:13:40,0 days 01:04:55,11620.0,DOUVILLEZ,Cedric
LORENZO Julien,0,D1,1971,SEF,0 days 03:14:04,0 days 01:05:19,11644.0,LORENZO,Julien
BOISSON Remi,0,D1,1992,M1M,0 days 03:15:30,0 days 01:06:45,11730.0,BOISSON,Remi
ROSSO Antho,ATLETISMU,D1,1984,M1M,0 days 03:15:34,0 days 01:06:49,11734.0,ROSSO,Antho
LAGARDE Sylvain,0,D1,1972,M2M,0 days 03:15:51,0 days 01:07:06,11751.0,LAGARDE,Sylvain
ROCA Maxime,0,D1,1992,M0M,0 days 03:16:41,0 days 01:07:56,11801.0,ROCA,Maxime
ANTSON Franck,0,D1,1974,SEM,0 days 03:16:58,0 days 01:08:13,11818.0,ANTSON,Franck
AUZOU Jean,0,D1,1967,M4M,0 days 03:17:26,0 days 01:08:41,11846.0,AUZOU,Jean
CARON Camille,0,IR2,1992,SEF,0 days 03:17:39,0 days 01:08:54,11859.0,CARON,Camille
BELHADJ Rachid,0,D1,1979,SEM,0 days 03:17:42,0 days 01:08:57,11862.0,BELHADJ,Rachid
LAFON Thomas,0,D1,1982,SEM,0 days 03:18:11,0 days 01:09:26,11891.0,LAFON,Thomas
BON Arnaud,0,D1,1975,SEM,0 days 03:18:53,0 days 01:10:08,11933.0,BON,Arnaud
MENARD Thierry,ATHLETISME,D1,1969,M1M,0 days 03:19:12,0 days 01:10:27,11952.0,MENARD,Thierry
DELCOURT Stephen,0,D2,1985,SEM,0 days 03:19:40,0 days 01:10:55,11980.0,DELCOURT,Stephen
JUTEL Jeremie,0,D2,2000,M1M,0 days 03:21:47,0 days 01:13:02,12107.0,JUTEL,Jeremie
BASSET Bertrand,CLUB,D2,1966,M1M,0 days 03:22:44,0 days 01:13:59,12164.0,BASSET,Bertrand
MARTINEAU Lucie,0,IR3,1990,M0M,0 days 03:22:58,0 days 01:14:13,12178.0,MARTINEAU,Lucie
CAILLEUX Theophile,0,D2,1994,M1M,0 days 03:23:47,0 days 01:15:02,12227.0,CAILLEUX,Theophile
SAUVAGEOT Thomas,0,D2,1994,SEM,0 days 03:24:17,0 days 01:15:32,12257.0,SAUVAGEOT,Thomas
BENJAMIN Bessiere,0,D2,1993,SEF,0 days 03:24:20,0 days 01:15:35,12260.0,BENJAMIN,Bessiere
MARGAINE Fabrice,0,D2,1981,M3M,0 days 03:24:47,0 days 01:16:02,12287.0,MARGAINE,Fabrice
TRIHAN Marin,0,D2,1994,M3M,0 days 03:24:48,0 days 01:16:03,12288.0,TRIHAN,Marin
CHOQUEREAU Laurent,0,D2,1983,M3M,0 days 03:26:01,0 days 01:17:16,12361.0,CHOQUEREAU,Laurent
LAURENT Berdou,0,D3,1981,SEM,0 days 03:26:10,0 days 01:17:25,12370.0,LAURENT,Berdou
BOULAY Aurel,0,D3,1988,M0M,0 days 03:27:43,0 days 01:18:58,12463.0,BOULAY,Aurel
PHILARET Christophe,0,D3,1980,M6M,0 days 03:27:59,0 days 01:19:14,12479.0,PHILARET,Christophe
TRIHAN Malo,0,D3,1996,M1M,0 days 03:28:05,0 days 01:19:20,12485.0,TRIHAN,Malo
MARTIN Pauline,0,IR4,1993,M4M,0 days 03:29:09,0 days 01:20:24,12549.0,MARTIN,Pauline
CRESSON Jerome,0,D3,1973,M3F,0 days 03:29:21,0 days 01:20:36,12561.0,CRESSON,Jerome
BRANDENBURGER Stephane,0,D3,1971,M4M,0 days 03:29:32,0 days 01:20:47,12572.0,BRANDENBURGER,Stephane
BRANDAO Carlos,0,D3,1971,M2M,0 days 03:29:36,0 days 01:20:51,12576.0,BRANDAO,Carlos
TOURNAY Valentin,0,D3,1990,M4M,0 days 03:30:05,0 days 01:21:20,12605.0,TOURNAY,Valentin
BOURGEOIS Justin,0,D3,1988,SEM,0 days 03:30:28,0 days 01:21:43,12628.0,BOURGEOIS,Justin
GOUNY Pascal,PCA,D3,1957,M1M,0 days 03:30:37,0 days 01:21:52,12637.0,GOUNY,Pascal
MOEC Nicolas,0,D3,1979,M4M,0 days 03:30:43,0 days 01:21:58,12643.0,MOEC,Nicolas
CARRETERO Sylvain,0,D3,1965,M5M,0 days 03:30:52,0 days 01:22:07,12652.0,CARRETERO,Sylvain
SILAIRE Anne,PCA,IR4,1969,SEM,0 days 03:31:16,0 days 01:22:31,12676.0,SILAIRE,Anne
HERVET Franck,0,D3,1965,SEM,0 days 03:31:17,0 days 01:22:32,12677.0,HERVET,Franck
REMINIAC Thierry,BRE,D3,1974,M3M,0 days 03:31:35,0 days 01:22:50,12695.0,REMINIAC,Thierry
PACOTTE Eric,0,D3,1966,M3M,0 days 03:31:50,0 days 01:23:05,12710.0,PACOTTE,Eric
CHALLEND DE,0,D3,1991,SEF,0 days 03:32:16,0 days 01:23:31,12736.0,CHALLEND,DE
ZIMMERMANN Thomas,0,D3,1981,M2M,0 days 03:32:29,0 days 01:23:44,12749.0,ZIMMERMANN,Thomas
CORFA Bernard,0,D3,1964,M2M,0 days 03:32:37,0 days 01:23:52,12757.0,CORFA,Bernard
GILLES Douzenel,0,D3,1962,SEM,0 days 03:32:39,0 days 01:23:54,12759.0,GILLES,Douzenel
LAMOURET Florian,0,D3,1995,M1M,0 days 03:32:42,0 days 01:23:57,12762.0,LAMOURET,Florian
FUSEAU Clement,0,D3,1991,SEF,0 days 03:32:46,0 days 01:24:01,12766.0,FUSEAU,Clement
LISNARD David,PCA,D3,1969,M3F,0 days 03:32:54,0 days 01:24:09,12774.0,LISNARD,David
DE CARIA,0,D3,1973,M3M,0 days 03:32:57,0 days 01:24:12,12777.0,DE,CARIA
OLLIVIER Marie,0,R1,1993,M2M,0 days 03:32:57,0 days 01:24:12,12777.0,OLLIVIER,Marie
CHARDON Christophe,0,D3,1974,M4M,0 days 03:33:55,0 days 01:25:10,12835.0,CHARDON,Christophe
FIORIO Daniel,0,D3,1975,M4M,0 days 03:34:05,0 days 01:25:20,12845.0,FIORIO,Daniel
FERREIRA Stephane,0,D3,1991,M1M,0 days 03:34:18,0 days 01:25:33,12858.0,FERREIRA,Stephane
LAUR Patrice,0,D3,1981,M3F,0 days 03:34:18,0 days 01:25:33,12858.0,LAUR,Patrice
VULLIET Coline,0,R1,1993,M1M,0 days 03:34:39,0 days 01:25:54,12879.0,VULLIET,Coline
COUDRIEAU Benedicte,0,R1,1972,M0F,0 days 03:34:48,0 days 01:26:03,12888.0,COUDRIEAU,Benedicte
BELHADJ Cherif,0,D4,1969,M3M,0 days 03:35:32,0 days 01:26:47,12932.0,BELHADJ,Cherif
HUMBERT Stephane,0,D3,1978,SEM,0 days 03:35:59,0 days 01:27:14,12959.0,HUMBERT,Stephane
MARQUES DE,0,D4,1964,M2M,0 days 03:36:21,0 days 01:27:36,12981.0,MARQUES,DE
AUNIS Georges,0,D4,1964,M4M,0 days 03:36:43,0 days 01:27:58,13003.0,AUNIS,Georges
GHERRAT Sebastien,0,D3,1979,SEM,0 days 03:37:24,0 days 01:28:39,13044.0,GHERRAT,Sebastien
RAMADIER Nadia,0,R1,1972,M4M,0 days 03:37:26,0 days 01:28:41,13046.0,RAMADIER,Nadia
SUCHANEK Mikael,0,D4,1979,M3M,0 days 03:37:33,0 days 01:28:48,13053.0,SUCHANEK,Mikael
CHUCHU Alexandra,0,R1,1987,M0M,0 days 03:38:05,0 days 01:29:20,13085.0,CHUCHU,Alexandra
FORTINEAU Pierre,ATHLETISME,D4,1974,M2M,0 days 03:38:19,0 days 01:29:34,13099.0,FORTINEAU,Pierre
NGOM Abdou,0,D4,1969,M4M,0 days 03:38:28,0 days 01:29:43,13108.0,NGOM,Abdou
BARIAUD Romain,0,D4,1995,M2M,0 days 03:38:52,0 days 01:30:07,13132.0,BARIAUD,Romain
BADOUX Gael,0,D4,1974,SEM,0 days 03:38:55,0 days 01:30:10,13135.0,BADOUX,Gael
ROUSSEL Nicolas,0,D4,1968,M4M,0 days 03:39:23,0 days 01:30:38,13163.0,ROUSSEL,Nicolas
MARRO Pierre,0,D4,1996,M1M,0 days 03:39:50,0 days 01:31:05,13190.0,MARRO,Pierre
LIZIER Jean,OLYMPIQUE,D4,1965,M2M,0 days 03:40:09,0 days 01:31:24,13209.0,LIZIER,Jean
GRAIGNIC Yann,0,D4,1973,M3M,0 days 03:40:16,0 days 01:31:31,13216.0,GRAIGNIC,Yann
LEMAITRE Benoit,0,D4,1987,SEM,0 days 03:40:17,0 days 01:31:32,13217.0,LEMAITRE,Benoit
MURIE Aurelien,0,D4,1976,M5M,0 days 03:40:17,0 days 01:31:32,13217.0,MURIE,Aurelien
DEL SOLE,0,D4,1964,M1M,0 days 03:40:18,0 days 01:31:33,13218.0,DEL,SOLE
WROBEL David,0,D4,1976,SEM,0 days 03:40:52,0 days 01:32:07,13252.0,WROBEL,David
DESCAZEAUD Sylvain,0,D4,1991,M2M,0 days 03:41:52,0 days 01:33:07,13312.0,DESCAZEAUD,Sylvain
MAYAKI Zakari,0,D4,1968,M0M,0 days 03:41:57,0 days 01:33:12,13317.0,MAYAKI,Zakari
LEMOINE Sebastien,0,D4,1979,M4M,0 days 03:42:08,0 days 01:33:23,13328.0,LEMOINE,Sebastien
SCARPARO Laurent,0,D5,1978,M0M,0 days 03:42:20,0 days 01:33:35,13340.0,SCARPARO,Laurent
SAEZ Jean,0,D4,1970,M3F,0 days 03:42:49,0 days 01:34:04,13369.0,SAEZ,Jean
LIABEUF Dylan,0,D4,1995,M3F,0 days 03:43:04,0 days 01:34:19,13384.0,LIABEUF,Dylan
BARRAU Germain,0,D5,1963,M2F,0 days 03:43:23,0 days 01:34:38,13403.0,BARRAU,Germain
IUGOVICH Olivier,PCA,D4,1980,M4M,0 days 03:43:59,0 days 01:35:14,13439.0,IUGOVICH,Olivier
POMMEREAU Regis,0,D4,1991,M1M,0 days 03:44:18,0 days 01:35:33,13458.0,POMMEREAU,Regis
LE GONIDEC,0,D5,1978,SEF,0 days 03:45:17,0 days 01:36:32,13517.0,LE,GONIDEC
POMMIES Pierre,0,D5,1988,SEM,0 days 03:45:43,0 days 01:36:58,13543.0,POMMIES,Pierre
LEPINE Patrick,0,D5,1967,SEM,0 days 03:45:58,0 days 01:37:13,13558.0,LEPINE,Patrick
HOUDUSSE Guillaume,0,D5,1987,M1F,0 days 03:46:11,0 days 01:37:26,13571.0,HOUDUSSE,Guillaume
HERSOEN Estelle,0,R3,1969,SEF,0 days 03:46:29,0 days 01:37:44,13589.0,HERSOEN,Estelle
BOULAY Malika,ATHLETISME,R2,1972,M1M,0 days 03:46:49,0 days 01:38:04,13609.0,BOULAY,Malika
GILLOT Francoise,0,R2,1971,M3M,0 days 03:47:06,0 days 01:38:21,13626.0,GILLOT,Francoise
REMINIAC Anne,BRE,R2,1976,M4M,0 days 03:47:06,0 days 01:38:21,13626.0,REMINIAC,Anne
FORTINEAU Francoise,ATHLETISME,R2,1975,SEM,0 days 03:47:06,0 days 01:38:21,13626.0,FORTINEAU,Francoise
SPAGO Jean,OLYMPIQUE,D5,1964,M2M,0 days 03:47:07,0 days 01:38:22,13627.0,SPAGO,Jean
DELFAIRIERE Thomas,0,D5,1979,M1F,0 days 03:47:21,0 days 01:38:36,13641.0,DELFAIRIERE,Thomas
NAHUM Charlotte,0,R3,1991,M4F,0 days 03:47:33,0 days 01:38:48,13653.0,NAHUM,Charlotte
DEVAUX Arthur,0,D4,1995,SEF,0 days 03:47:42,0 days 01:38:57,13662.0,DEVAUX,Arthur
MANACH Benjamin,0,D5,1991,M0M,0 days 03:48:20,0 days 01:39:35,13700.0,MANACH,Benjamin
OUARY Florence,0,R3,1980,SEM,0 days 03:48:53,0 days 01:40:08,13733.0,OUARY,Florence
MARTIN Margaux,0,R3,1995,M5F,0 days 03:49:10,0 days 01:40:25,13750.0,MARTIN,Margaux
GRAVE Matthieu,0,D5,1982,M3M,0 days 03:49:11,0 days 01:40:26,13751.0,GRAVE,Matthieu
WAWCZAK Yves,0,D5,1971,M0M,0 days 03:49:46,0 days 01:41:01,13786.0,WAWCZAK,Yves
GARCIA Thierry,0,D5,1964,ESM,0 days 03:49:52,0 days 01:41:07,13792.0,GARCIA,Thierry
BARETTI Gael,0,D5,1993,M3M,0 days 03:49:52,0 days 01:41:07,13792.0,BARETTI,Gael
RAUX Stephane,0,D5,1974,SEM,0 days 03:50:08,0 days 01:41:23,13808.0,RAUX,Stephane
LAHAYE Emmanuelle,0,R3,1979,M2M,0 days 03:50:27,0 days 01:41:42,13827.0,LAHAYE,Emmanuelle
ZELMATI Laurence,0,R3,1965,SEF,0 days 03:50:40,0 days 01:41:55,13840.0,ZELMATI,Laurence
BRUNET Ariane,0,R3,1997,M4M,0 days 03:50:45,0 days 01:42:00,13845.0,BRUNET,Ariane
CHARRIEU Yannick,0,D5,1987,M3M,0 days 03:50:57,0 days 01:42:12,13857.0,CHARRIEU,Yannick
BAZIN Dimitry,0,D5,1990,M4M,0 days 03:50:58,0 days 01:42:13,13858.0,BAZIN,Dimitry
LONGEAUD Silvie,0,R3,1962,M2M,0 days 03:50:59,0 days 01:42:14,13859.0,LONGEAUD,Silvie
CACHAT Julien,0,D5,1970,M1M,0 days 03:51:10,0 days 01:42:25,13870.0,CACHAT,Julien
LHOMME Nicolas,0,D5,1988,M7M,0 days 03:51:17,0 days 01:42:32,13877.0,LHOMME,Nicolas
NACCACHE Marin,0,D5,2001,SEM,0 days 03:51:23,0 days 01:42:38,13883.0,NACCACHE,Marin
MINNE Bertil,0,D5,1969,SEM,0 days 03:51:27,0 days 01:42:42,13887.0,MINNE,Bertil
BATARD Antoine,0,D5,1991,SEF,0 days 03:51:48,0 days 01:43:03,13908.0,BATARD,Antoine
KADDOURI Hamadi,0,D6,1977,SEM,0 days 03:51:57,0 days 01:43:12,13917.0,KADDOURI,Hamadi
CAREDDU Andre,ATLETISMU,D6,1985,M3F,0 days 03:52:13,0 days 01:43:28,13933.0,CAREDDU,Andre
GAUDIN Lise,0,R3,1992,M6M,0 days 03:52:17,0 days 01:43:32,13937.0,GAUDIN,Lise
GRISON Didier,0,D6,1964,M2M,0 days 03:52:23,0 days 01:43:38,13943.0,GRISON,Didier
GUEGUEN Erwan,0,D5,1971,SEF,0 days 03:52:26,0 days 01:43:41,13946.0,GUEGUEN,Erwan
MALICKI Christophe,0,D5,1966,SEF,0 days 03:52:29,0 days 01:43:44,13949.0,MALICKI,Christophe
BEAUGRAND Antoine,0,D6,1975,SEM,0 days 03:52:34,0 days 01:43:49,13954.0,BEAUGRAND,Antoine
COADOU Sebastien,0,D6,1979,M3M,0 days 03:52:35,0 days 01:43:50,13955.0,COADOU,Sebastien
JORDAN Regis,0,D6,1949,SEF,0 days 03:53:14,0 days 01:44:29,13994.0,JORDAN,Regis
BAZENET Pierre,0,D5,1992,M3M,0 days 03:53:27,0 days 01:44:42,14007.0,BAZENET,Pierre
DARONDEL Paul,0,D6,1994,M5M,0 days 03:53:37,0 days 01:44:52,14017.0,DARONDEL,Paul
CADILLON Lea,0,R4,1993,M3M,0 days 03:53:42,0 days 01:44:57,14022.0,CADILLON,Lea
QUERTAIN Yann,0,D6,1991,M2M,0 days 03:54:06,0 days 01:45:21,14046.0,QUERTAIN,Yann
ARNAULT Veronique,0,R4,1970,M4M,0 days 03:54:07,0 days 01:45:22,14047.0,ARNAULT,Veronique
DERRAC Patrick,0,D6,1955,M4F,0 days 03:54:15,0 days 01:45:30,14055.0,DERRAC,Patrick
PASCAL Olivier,0,D6,1974,SEM,0 days 03:54:32,0 days 01:45:47,14072.0,PASCAL,Olivier
MOUSSEAU Alicia,0,R4,1996,M5M,0 days 03:54:32,0 days 01:45:47,14072.0,MOUSSEAU,Alicia
COURCIER Marion,0,R4,1993,M4M,0 days 03:54:48,0 days 01:46:03,14088.0,COURCIER,Marion
DOLLE Adrien,0,D6,1989,M3M,0 days 03:55:34,0 days 01:46:49,14134.0,DOLLE,Adrien
TABUTIN Florent,0,D6,1973,M0M,0 days 03:55:35,0 days 01:46:50,14135.0,TABUTIN,Florent
LEFEBVRE Perrine,0,R4,1996,M2F,0 days 03:55:42,0 days 01:46:57,14142.0,LEFEBVRE,Perrine
INNOCENTI Jerome,0,D6,1973,M4M,0 days 03:56:07,0 days 01:47:22,14167.0,INNOCENTI,Jerome
GUILLE Olivier,0,D6,1963,SEM,0 days 03:56:07,0 days 01:47:22,14167.0,GUILLE,Olivier
LE DOUSSAL,0,D6,1972,M4F,0 days 03:56:21,0 days 01:47:36,14181.0,LE,DOUSSAL
BLANCHETOT Youri,0,D6,1974,M3M,0 days 03:56:22,0 days 01:47:37,14182.0,BLANCHETOT,Youri
GUILLET Christophe,0,D6,1966,M3M,0 days 03:56:31,0 days 01:47:46,14191.0,GUILLET,Christophe
LE BLANC,0,R4,1966,M0M,0 days 03:56:31,0 days 01:47:46,14191.0,LE,BLANC
HAGLON Lilian,0,D6,1993,M7F,0 days 03:56:36,0 days 01:47:51,14196.0,HAGLON,Lilian
DEMAY Franck,0,D6,1959,M3M,0 days 03:56:54,0 days 01:48:09,14214.0,DEMAY,Franck
ALLEGATIERE Lionel,0,D6,1966,SEM,0 days 03:57:05,0 days 01:48:20,14225.0,ALLEGATIERE,Lionel
FOLL Patrice,0,D6,1973,M1F,0 days 03:57:14,0 days 01:48:29,14234.0,FOLL,Patrice
GASPARI Ange,ATLETISMU,D6,1985,M1M,0 days 03:57:26,0 days 01:48:41,14246.0,GASPARI,Ange
GANGLOFF Loic,0,D6,1985,SEM,0 days 03:57:51,0 days 01:49:06,14271.0,GANGLOFF,Loic
PAULY Nathalie,ATHLETISME,R4,1977,M3M,0 days 03:57:58,0 days 01:49:13,14278.0,PAULY,Nathalie
BOULET Herve,0,D6,1968,M6M,0 days 03:57:58,0 days 01:49:13,14278.0,BOULET,Herve
NOGUES Erwan,0,D6,1992,M1M,0 days 03:58:00,0 days 01:49:15,14280.0,NOGUES,Erwan
FANTINI Valerie,0,R4,1967,M1M,0 days 03:58:05,0 days 01:49:20,14285.0,FANTINI,Valerie
LABARBRE Frederic,0,D6,1973,SEM,0 days 03:58:09,0 days 01:49:24,14289.0,LABARBRE,Frederic
TEMMAR Larbi,SOMME,D6,1971,SEM,0 days 03:58:18,0 days 01:49:33,14298.0,TEMMAR,Larbi
EMMANUEL Jean,0,D6,1984,M1M,0 days 03:58:31,0 days 01:49:46,14311.0,EMMANUEL,Jean
GASTAUD Genevieve,YVELINES,R5,1951,SEF,0 days 03:58:31,0 days 01:49:46,14311.0,GASTAUD,Genevieve
BOURY David,0,D6,1972,SEM,0 days 03:58:36,0 days 01:49:51,14316.0,BOURY,David
LABARBERE Adrien,0,D6,2000,M2F,0 days 03:58:38,0 days 01:49:53,14318.0,LABARBERE,Adrien
ROULET Fanny,0,R4,1980,M0M,0 days 03:59:43,0 days 01:50:58,14383.0,ROULET,Fanny
LAGRABE Loic,ATLETISMU,D6,1995,M2M,0 days 03:59:47,0 days 01:51:02,14387.0,LAGRABE,Loic
LAGROST Pierre,0,D6,1981,M2M,0 days 03:59:48,0 days 01:51:03,14388.0,LAGROST,Pierre
GIROT Romain,0,D6,1995,SEM,0 days 04:00:07,0 days 01:51:22,14407.0,GIROT,Romain
JUAN Philippe,0,D6,1973,SEM,0 days 04:00:08,0 days 01:51:23,14408.0,JUAN,Philippe
FORNARI Patrick,0,D6,1957,M2M,0 days 04:00:21,0 days 01:51:36,14421.0,FORNARI,Patrick
CROGIEZ Gaetan,0,D6,1980,SEM,0 days 04:00:35,0 days 01:51:50,14435.0,CROGIEZ,Gaetan
MAUZEN Guillaume,0,D6,1980,M0F,0 days 04:01:03,0 days 01:52:18,14463.0,MAUZEN,Guillaume
LAPORTE Silvy,ETIENNE,R5,1966,SEM,0 days 04:01:10,0 days 01:52:25,14470.0,LAPORTE,Silvy
SAULI Joseph,ATLETISMU,D6,1986,M4M,0 days 04:01:38,0 days 01:52:53,14498.0,SAULI,Joseph
BERNARDINI Jean,ATLETISMU,D6,1979,M6M,0 days 04:01:45,0 days 01:53:00,14505.0,BERNARDINI,Jean
MURATI Christophe,ATLETISMU,D6,1977,M3M,0 days 04:01:46,0 days 01:53:01,14506.0,MURATI,Christophe
MAGNY Pierre,ATLETISMU,D6,1971,M0M,0 days 04:01:48,0 days 01:53:03,14508.0,MAGNY,Pierre
BARRIAL DU,0,D6,1998,M0M,0 days 04:01:48,0 days 01:53:03,14508.0,BARRIAL,DU
HILALI Abdessamad,0,D7,1994,M2M,0 days 04:01:56,0 days 01:53:11,14516.0,HILALI,Abdessamad
BEN AMAR,0,D7,1980,0,0 days 04:03:12,0 days 01:54:27,14592.0,BEN,AMAR
